msg_count,send_time,recv_time,latency_us,payload_bytes
60,1755012070588245,1755012070804377,216132,256
73,1755012070593380,1755012070804429,211049,256
75,1755012070594121,1755012070804440,210319,256
71,1755012070592770,1755012070804476,211706,256
56,1755012070587198,1755012070804611,217413,256
54,1755012070585424,1755012070805260,219836,256
60,1755012070588245,1755012070805270,217025,256
63,1755012070589139,1755012070805231,216092,256
73,1755012070593380,1755012070805420,212040,256
60,1755012070588245,1755012070805568,217323,256
61,1755012070588564,1755012070805806,217242,256
72,1755012070593054,1755012070806224,213170,256
74,1755012070593721,1755012070806272,212551,256
76,1755012070594468,1755012070806329,211861,256
57,1755012070587615,1755012070806614,218999,256
55,1755012070586802,1755012070807124,220322,256
74,1755012070593721,1755012070807264,213543,256
61,1755012070588564,1755012070807322,218758,256
61,1755012070588564,1755012070807412,218848,256
64,1755012070589413,1755012070807519,218106,256
62,1755012070588866,1755012070807537,218671,256
73,1755012070593380,1755012070807815,214435,256
75,1755012070594121,1755012070808317,214196,256
58,1755012070587849,1755012070808706,220857,256
77,1755012070594966,1755012070808788,213822,256
62,1755012070588866,1755012070809472,220606,256
0,1755012070550248,1755012070809362,259114,256
75,1755012070594121,1755012070809427,215306,256
62,1755012070588866,1755012070809657,220791,256
63,1755012070589139,1755012070809781,220642,256
65,1755012070589736,1755012070809749,220013,256
74,1755012070593721,1755012070809964,216243,256
76,1755012070594468,1755012070810072,215604,256
59,1755012070588042,1755012070810313,222271,256
78,1755012070595329,1755012070810464,215135,256
63,1755012070589139,1755012070810707,221568,256
56,1755012070587198,1755012070810961,223763,256
76,1755012070594468,1755012070811053,216585,256
63,1755012070589139,1755012070811120,221981,256
64,1755012070589413,1755012070811361,221948,256
77,1755012070594966,1755012070811564,216598,256
75,1755012070594121,1755012070811381,217260,256
66,1755012070590288,1755012070811354,221066,256
60,1755012070588245,1755012070811713,223468,256
79,1755012070595746,1755012070812180,216434,256
64,1755012070589413,1755012070812313,222900,256
57,1755012070587615,1755012070812686,225071,256
77,1755012070594966,1755012070812782,217816,256
64,1755012070589413,1755012070812881,223468,256
65,1755012070589736,1755012070813034,223298,256
78,1755012070595329,1755012070813089,217760,256
76,1755012070594468,1755012070813240,218772,256
61,1755012070588564,1755012070813355,224791,256
67,1755012070590620,1755012070813454,222834,256
80,1755012070596181,1755012070813732,217551,256
0,1755012070544130,1755012070814200,270070,256
65,1755012070589736,1755012070814270,224534,256
78,1755012070595329,1755012070814456,219127,256
65,1755012070589736,1755012070814550,224814,256
79,1755012070595746,1755012070814613,218867,256
66,1755012070590288,1755012070814581,224293,256
77,1755012070594966,1755012070814791,219825,256
62,1755012070588866,1755012070814813,225947,256
68,1755012070591759,1755012070814924,223165,256
81,1755012070596572,1755012070814979,218407,256
1,1755012070550723,1755012070815339,264616,256
79,1755012070595746,1755012070815610,219864,256
66,1755012070590288,1755012070815561,225273,256
66,1755012070590288,1755012070815995,225707,256
67,1755012070590620,1755012070816087,225467,256
63,1755012070589139,1755012070816336,227197,256
80,1755012070596181,1755012070816000,219819,256
78,1755012070595329,1755012070816150,220821,256
82,1755012070596961,1755012070816552,219591,256
69,1755012070592116,1755012070816621,224505,256
58,1755012070587849,1755012070816906,229057,256
67,1755012070590620,1755012070817595,226975,256
80,1755012070596181,1755012070817712,221531,256
67,1755012070590620,1755012070817792,227172,256
64,1755012070589413,1755012070818121,228708,256
68,1755012070591759,1755012070818252,226493,256
79,1755012070595746,1755012070818300,222554,256
81,1755012070596572,1755012070818366,221794,256
83,1755012070597337,1755012070818377,221040,256
59,1755012070588042,1755012070818590,230548,256
70,1755012070592443,1755012070818493,226050,256
68,1755012070591759,1755012070819103,227344,256
81,1755012070596572,1755012070819218,222646,256
68,1755012070591759,1755012070819359,227600,256
65,1755012070589736,1755012070819494,229758,256
80,1755012070596181,1755012070819815,223634,256
69,1755012070592116,1755012070819753,227637,256
82,1755012070596961,1755012070819912,222951,256
84,1755012070597713,1755012070819988,222275,256
71,1755012070592770,1755012070820273,227503,256
69,1755012070592116,1755012070820452,228336,256
82,1755012070596961,1755012070820592,223631,256
66,1755012070590288,1755012070820759,230471,256
69,1755012070592116,1755012070820773,228657,256
1,1755012070544509,1755012070820845,276336,256
81,1755012070596572,1755012070821011,224439,256
70,1755012070592443,1755012070821080,228637,256
83,1755012070597337,1755012070821354,224017,256
85,1755012070598346,1755012070821124,222778,256
72,1755012070593054,1755012070821495,228441,256
83,1755012070597337,1755012070821851,224514,256
70,1755012070592443,1755012070821711,229268,256
67,1755012070590620,1755012070821958,231338,256
70,1755012070592443,1755012070822114,229671,256
82,1755012070596961,1755012070822495,225534,256
60,1755012070588245,1755012070822495,234250,256
71,1755012070592770,1755012070822769,229999,256
84,1755012070597713,1755012070822786,225073,256
86,1755012070599001,1755012070822802,223801,256
73,1755012070593380,1755012070822848,229468,256
84,1755012070597713,1755012070823126,225413,256
71,1755012070592770,1755012070823145,230375,256
68,1755012070591759,1755012070823367,231608,256
71,1755012070592770,1755012070823620,230850,256
85,1755012070598346,1755012070824533,226187,256
72,1755012070593054,1755012070824609,231555,256
83,1755012070597337,1755012070824495,227158,256
87,1755012070599443,1755012070824808,225365,256
74,1755012070593721,1755012070824857,231136,256
85,1755012070598346,1755012070825064,226718,256
69,1755012070592116,1755012070825056,232940,256
2,1755012070550971,1755012070825158,274187,256
72,1755012070593054,1755012070825175,232121,256
72,1755012070593054,1755012070825337,232283,256
86,1755012070599001,1755012070826427,227426,256
73,1755012070593380,1755012070826624,233244,256
75,1755012070594121,1755012070826822,232701,256
88,1755012070600088,1755012070826717,226629,256
84,1755012070597713,1755012070826755,229042,256
70,1755012070592443,1755012070826973,234530,256
86,1755012070599001,1755012070827112,228111,256
61,1755012070588564,1755012070827453,238889,256
73,1755012070593380,1755012070827468,234088,256
73,1755012070593380,1755012070827501,234121,256
87,1755012070599443,1755012070828335,228892,256
